rate,nu_med,nu_min,nu_max,sim_kurt,IS_KS_pct,br01_pct,LRuc01,pUC01,LRind01,pInd01,br05_pct,LRuc05,pUC05,LRind05,pInd05
0.0,50.0,2.1,50.0,14.302,95.7,0.17,5.991,0.0144,0.004,0.9528,1.4,21.588,0.0,8.743,0.0031
5.0,50.0,3.305,50.0,11.188,95.8,0.17,5.991,0.0144,0.004,0.9528,1.4,21.588,0.0,8.743,0.0031
20.0,50.0,4.892,50.0,8.434,94.7,0.17,5.991,0.0144,0.004,0.9528,1.4,21.588,0.0,8.743,0.0031
50.0,50.0,6.462,50.0,5.409,96.3,0.17,5.991,0.0144,0.004,0.9528,1.4,21.588,0.0,8.743,0.0031
100.0,50.0,9.9,50.0,3.96,95.6,0.17,5.991,0.0144,0.004,0.9528,1.4,21.588,0.0,8.743,0.0031
200.0,50.0,50.0,50.0,3.673,95.7,0.17,5.991,0.0144,0.004,0.9528,0.7,34.56,0.0,5.727,0.0167
