model,alpha,br_pct,LR_uc,p_uc,LR_ind,p_ind,T_OoS,med_VaR
CHMM-N,0.01,0.17,5.99,0.0144,0.0,0.9528,572,-4.992
CHMM-N,0.05,1.4,21.59,0.0,2.81,0.0937,572,-2.859
CHMM-t,0.01,0.17,5.99,0.0144,0.0,0.9528,572,-5.697
CHMM-t,0.05,1.4,21.59,0.0,8.74,0.0031,572,-2.619
CHMM-L,0.01,0.17,5.99,0.0144,0.0,0.9528,572,-5.479
CHMM-L,0.05,1.22,24.34,0.0,9.95,0.0016,572,-2.508
