generator,asymp_pass_pct,mean_pv,median_pv,pv_q05,pv_q25,pv_q75,pv_q95,ks_q05,ks_q50,ks_q95,block5_pass_pct,block10_pass_pct,block20_pass_pct
iid bootstrap,90.4,0.4369,0.411,0.0298,0.1825,0.6952,0.912,0.0331,0.0524,0.0858,60.8,69.0,73.2
GARCH(1,1),59.2,0.1644,0.0916,0.0005,0.0177,0.2346,0.6455,0.0437,0.0734,0.1206,19.4,26.0,31.4
CHMM-N,81.0,0.3178,0.2346,0.01,0.0789,0.4996,0.8756,0.035,0.0612,0.0962,41.2,51.2,56.4
CHMM-t,84.8,0.3551,0.297,0.0176,0.1058,0.547,0.9105,0.0332,0.0577,0.091,47.4,58.4,61.6
CHMM-L,77.4,0.2659,0.1825,0.0083,0.058,0.411,0.7442,0.0402,0.0647,0.0979,36.0,45.4,49.4
CHMM-GED,81.0,0.3269,0.2346,0.0101,0.0789,0.547,0.8375,0.0366,0.0612,0.0962,44.4,53.6,58.4

block_length,KS_crit_95
5,0.05769
10,0.06294
20,0.06469
asymptotic,0.08042
