K,n_folds,val_ll_per_obs_mean,val_ll_per_obs_sd,val_KS_pct_mean,val_KS_pct_sd
3,6,-1.92207,0.34136,69.77,30.71
6,6,-1.91603,0.34545,75.17,29.58
9,6,-1.95677,0.32268,76.50,29.85
12,6,-2.01085,0.31470,76.80,29.32
18,6,-2.12806,0.25891,76.97,30.13
