model,K,fold,n_train,n_val,train_ll_per_obs,val_ll_per_obs,val_KS_pct
CHMM-N,3,1,754,124,-2.06195,-1.59871,38.20
CHMM-N,6,1,754,124,-2.02455,-1.57472,51.60
CHMM-N,9,1,754,124,-1.98074,-1.65686,49.60
CHMM-N,12,1,754,124,-1.92166,-1.75805,55.00
CHMM-N,18,1,754,124,-1.83577,-1.92078,53.20
CHMM-N,3,2,879,125,-1.98987,-1.43269,23.40
CHMM-N,6,2,879,125,-1.96326,-1.45067,25.60
CHMM-N,9,2,879,125,-1.93324,-1.52211,28.40
CHMM-N,12,2,879,125,-1.87696,-1.54758,26.60
CHMM-N,18,2,879,125,-1.78997,-1.75627,26.20
CHMM-N,3,3,1005,124,-1.91798,-2.28653,86.40
CHMM-N,6,3,1005,124,-1.89473,-2.27914,90.20
CHMM-N,9,3,1005,124,-1.87814,-2.30850,94.00
CHMM-N,12,3,1005,124,-1.81084,-2.32219,93.40
CHMM-N,18,3,1005,124,-1.71350,-2.43700,94.80
CHMM-N,3,4,1130,125,-1.95840,-2.21378,91.00
CHMM-N,6,4,1130,125,-1.93424,-2.25149,93.00
CHMM-N,9,4,1130,125,-1.91925,-2.28018,93.40
CHMM-N,12,4,1130,125,-1.86389,-2.33597,94.40
CHMM-N,18,4,1130,125,-1.78009,-2.34162,94.00
CHMM-N,3,5,1256,123,-1.98132,-2.06514,85.40
CHMM-N,6,5,1256,123,-1.96094,-2.05195,93.40
CHMM-N,9,5,1256,123,-1.93465,-2.06278,96.00
CHMM-N,12,5,1256,123,-1.89657,-2.12435,94.60
CHMM-N,18,5,1256,123,-1.81421,-2.23155,95.80
CHMM-N,3,6,1380,127,-1.98899,-1.93558,94.20
CHMM-N,6,6,1380,127,-1.96729,-1.88817,97.20
CHMM-N,9,6,1380,127,-1.94451,-1.91017,97.60
CHMM-N,12,6,1380,127,-1.91170,-1.97697,96.80
CHMM-N,18,6,1380,127,-1.83423,-2.08115,97.80
