model,K,K_eff,p_nom,p_eff,est_ll,AIC_nom,AIC_eff,BIC_nom,BIC_eff,HQC_nom,HQC_eff,CAIC_nom,CAIC_eff
CHMM-N,3,3,12,12,-2212.989,4449.977,4449.977,4510.337,4510.337,4472.781,4472.781,4522.337,4522.337
CHMM-N,6,6,42,42,-2185.693,4455.387,4455.387,4666.646,4666.646,4535.202,4535.202,4708.646,4708.646
CHMM-N,9,9,90,90,-2168.747,4517.495,4517.495,4970.192,4970.192,4688.528,4688.528,5060.192,5060.192
CHMM-N,12,9,156,90,-2106.193,4524.387,4392.387,5309.063,4845.084,4820.844,4563.42,5465.063,4935.084
CHMM-N,15,9,240,90,-2074.866,4629.731,4329.731,5836.925,4782.429,5085.819,4500.764,6076.925,4872.429
CHMM-N,18,11,342,132,-2011.506,4707.012,4287.012,6427.263,4950.969,5356.937,4537.861,6769.263,5082.969
CHMM-N,21,9,462,90,-1949.254,4822.508,4078.508,7146.356,4531.206,5700.477,4249.541,7608.356,4621.206
