qi,win_start,win_end,q_start,q_end,nu_star,offdiag_mae,frob
1,2265,2516,2517,2579,15.0,0.19769,1.30151
2,2328,2579,2580,2642,15.0,0.20453,1.40187
3,2391,2642,2643,2705,10.0,0.2409,1.59489
4,2454,2705,2706,2768,6.0,0.13316,0.90558
5,2517,2768,2769,2831,6.0,0.25493,1.79098
6,2580,2831,2832,2894,6.0,0.23222,1.51242
7,2643,2894,2895,2957,5.0,0.14672,0.97415
8,2706,2957,2958,3020,5.0,0.11913,0.79843
9,2769,3020,3021,3083,6.0,0.13845,0.95348
static_is,2516,2516,2517,3088,6.0,0.20717,1.49471
