window,model,is_start,is_end,oos_start,oos_end,is_n,oos_n,is_ks_pct,oos_ks_pct,br01_pct,LRuc01,LRind01,br05_pct,LRuc05,LRind05
1,CHMM-N,2014-01-03,2021-12-31,2022-01-03,2022-12-30,2013,250,99.0,0.2,3.2,7.734,0.531,16.0,41.367,0.474
1,CHMM-t,2014-01-03,2021-12-31,2022-01-03,2022-12-30,2013,250,98.0,0.4,2.8,5.497,0.405,14.8,33.923,0.604
1,CHMM-L,2014-01-03,2021-12-31,2022-01-03,2022-12-30,2013,250,97.0,0.2,2.4,3.555,0.296,14.4,31.567,0.404
2,CHMM-N,2015-01-02,2022-12-30,2023-01-03,2023-12-29,2013,249,94.2,93.8,0.0,5.005,0.0,0.8,14.041,0.033
2,CHMM-t,2015-01-02,2022-12-30,2023-01-03,2023-12-29,2013,249,96.2,93.4,0.0,5.005,0.0,0.8,14.041,0.033
2,CHMM-L,2015-01-02,2022-12-30,2023-01-03,2023-12-29,2013,249,91.6,96.0,0.0,5.005,0.0,0.8,14.041,0.033
3,CHMM-N,2016-01-04,2023-12-29,2024-01-02,2024-12-31,2011,251,93.2,88.2,0.0,5.045,0.0,2.79,3.055,1.852
3,CHMM-t,2016-01-04,2023-12-29,2024-01-02,2024-12-31,2011,251,94.8,87.8,0.0,5.045,0.0,2.39,4.423,2.43
3,CHMM-L,2016-01-04,2023-12-29,2024-01-02,2024-12-31,2011,251,96.0,87.0,0.0,5.045,0.0,2.39,4.423,2.43
4,CHMM-N,2017-01-03,2024-12-31,2025-01-02,2025-12-31,2011,248,96.0,92.6,1.21,0.103,5.409,3.63,1.08,0.995
4,CHMM-t,2017-01-03,2024-12-31,2025-01-02,2025-12-31,2011,248,94.8,88.6,1.21,0.103,5.409,4.03,0.522,0.695
4,CHMM-L,2017-01-03,2024-12-31,2025-01-02,2025-12-31,2011,248,92.8,87.4,1.21,0.103,5.409,3.63,1.08,0.995
5,CHMM-N,2018-01-02,2025-12-31,2026-01-02,2026-04-20,2009,73,97.2,97.0,0.0,1.467,0.0,1.37,2.811,0.028
5,CHMM-t,2018-01-02,2025-12-31,2026-01-02,2026-04-20,2009,73,98.2,94.6,0.0,1.467,0.0,1.37,2.811,0.028
5,CHMM-L,2018-01-02,2025-12-31,2026-01-02,2026-04-20,2009,73,99.4,95.2,0.0,1.467,0.0,1.37,2.811,0.028
