K,IS_KS,OoS_KS,IS_kurt,OoS_kurt,IS_ACF_MAE_abs,OoS_ACF_MAE_abs,IS_ACF_MAE_raw,OoS_ACF_MAE_raw,n_iter,final_ll
3,0.7830,0.8010,2.5243,2.5210,0.053096,0.051023,0.023817,0.044073,6,-5020.5242
18,0.8720,0.8140,4.3067,4.0272,0.046126,0.055278,0.024576,0.044896,9,-4912.3438
