K,alpha,q_lags,breaches,breach_rate,cc_LR,cc_p,DQ,DQ_p,DQ_dof
3,0.01,4,9,0.01571,3.9720,0.1372,12.2665,0.0563,6
3,0.05,4,36,0.06283,1.8788,0.3909,10.8147,0.0943,6
18,0.01,4,9,0.01571,3.9720,0.1372,15.4660,0.0169,6
18,0.05,4,26,0.04538,0.7898,0.6738,4.0021,0.6764,6
