model,IS_KS_pct,OoS_KS_pct,IS_AD_pct,OoS_AD_pct,sim_kurt,ACF_MAE,ACF_MAE_perpath_IS,ACF_MAE_perpath_OoS,ACF_MAE_raw,br01_pct,LRuc01,LRind01,br05_pct,LRuc05,LRind05
GARCH(1,1),28.0,59.4,12.5,59.5,6.997,0.03094,0.04835,0.05975,0.0173,0.87,0.096,13.182,4.02,1.234,6.471
EGARCH,6.3,34.9,4.1,41.7,2.804,0.04303,0.04797,0.05276,0.01731,1.05,0.014,20.873,3.5,3.028,4.709
GJR-GARCH,40.1,57.7,28.7,61.4,7.576,0.03301,0.04743,0.05652,0.01728,1.22,0.27,18.412,4.72,0.096,7.366
GARCH-t,57.3,80.8,36.6,65.3,15.128,0.03157,0.04797,0.05759,0.01729,1.05,0.014,20.873,4.9,0.013,6.732
HAR-RV,0.0,0.0,0.0,0.0,188.948,0.05657,0.05873,0.04939,0.01729,0.17,5.991,0.004,3.5,3.028,4.709
MS-GARCH K=2,27.7,38.7,24.0,44.4,4.73,0.03667,0.04551,0.05538,0.01732,1.05,0.014,20.873,4.2,0.822,5.87
MS-GARCH K=3,36.1,33.1,28.8,38.0,4.095,0.02845,0.04085,0.05651,0.01732,1.05,0.014,20.873,4.2,0.822,5.87
