model,mmd_legacy,mmd_fixed,gamma_fixed
CHMM-N,9.499581e-04,9.527862e-04,37.788609
CHMM-t,8.803083e-04,8.843361e-04,37.788609
CHMM-L,5.942700e-04,5.952040e-04,37.788609
GARCH(1,1),5.695023e-04,5.666469e-04,37.788609
EGARCH,1.943045e-03,1.948885e-03,37.788609
GJR-GARCH,1.397784e-03,1.402095e-03,37.788609
GARCH-t,1.304165e-03,1.315566e-03,37.788609
HAR-RV,1.673388e-03,1.676321e-03,37.788609
MS-GARCH K=2,1.393292e-03,1.398001e-03,37.788609
MS-GARCH K=3,2.082529e-03,2.082949e-03,37.788609
