family,K,alpha,breaches,breach_rate,med_var,LR_uc,p_uc,LR_ind,p_ind,LR_cc,p_cc
CHMM-N,3,0.01,9,0.0157,-4.562,1.606,0.205,2.366,0.124,3.972,0.137
CHMM-N,3,0.05,36,0.0628,-2.870,1.842,0.175,0.037,0.848,1.879,0.391
CHMM-N,18,0.01,9,0.0157,-5.193,1.606,0.205,2.366,0.124,3.972,0.137
CHMM-N,18,0.05,26,0.0454,-3.024,0.266,0.606,0.524,0.469,0.790,0.674
CHMM-t (λ=20.0),3,0.01,8,0.0140,-5.574,0.809,0.369,2.814,0.093,3.622,0.163
CHMM-t (λ=20.0),3,0.05,32,0.0558,-2.728,0.398,0.528,0.779,0.377,1.177,0.555
CHMM-t (λ=20.0),18,0.01,10,0.0175,-6.227,2.630,0.105,1.981,0.159,4.611,0.100
CHMM-t (λ=20.0),18,0.05,29,0.0506,-3.139,0.004,0.947,1.397,0.237,1.402,0.496
CHMM-L,3,0.01,5,0.0087,-5.429,0.098,0.754,4.745,0.029,4.843,0.089
CHMM-L,3,0.05,26,0.0454,-2.618,0.266,0.606,2.232,0.135,2.498,0.287
CHMM-L,18,0.01,9,0.0157,-6.166,1.606,0.205,0.288,0.592,1.894,0.388
CHMM-L,18,0.05,32,0.0558,-2.821,0.398,0.528,0.779,0.377,1.177,0.555
CHMM-GED,3,0.01,7,0.0122,-5.715,0.266,0.606,3.341,0.068,3.606,0.165
CHMM-GED,3,0.05,31,0.0541,-2.537,0.198,0.656,0.963,0.326,1.161,0.560
CHMM-GED,18,0.01,9,0.0157,-6.534,1.606,0.205,2.366,0.124,3.972,0.137
CHMM-GED,18,0.05,25,0.0436,-3.091,0.511,0.475,2.565,0.109,3.076,0.215
