model,K,fold,n_train,n_val,train_ll_per_obs,val_ll_per_obs,val_KS_pct
CHMM-N,2,1,754,125,-1.84833,-1.40200,45.80
CHMM-N,3,1,754,125,-1.83331,-1.39739,40.60
CHMM-N,6,1,754,125,-1.79372,-1.38879,55.40
CHMM-N,9,1,754,125,-1.76620,-1.51712,50.20
CHMM-N,12,1,754,125,-1.70829,-1.54743,46.20
CHMM-N,18,1,754,125,-1.59545,-1.84298,47.60
CHMM-N,2,2,879,126,-1.78237,-1.32390,29.00
CHMM-N,3,2,879,126,-1.77007,-1.32381,27.00
CHMM-N,6,2,879,126,-1.73170,-1.26393,46.20
CHMM-N,9,2,879,126,-1.71196,-1.35658,51.40
CHMM-N,12,2,879,126,-1.66278,-1.46289,45.00
CHMM-N,18,2,879,126,-1.55887,-1.70471,43.20
CHMM-N,2,3,1005,125,-1.72254,-2.12558,82.40
CHMM-N,3,3,1005,125,-1.70592,-2.11213,73.80
CHMM-N,6,3,1005,125,-1.66951,-2.08276,73.20
CHMM-N,9,3,1005,125,-1.66103,-2.09423,80.60
CHMM-N,12,3,1005,125,-1.62146,-2.14268,74.80
CHMM-N,18,3,1005,125,-1.51973,-2.19053,76.80
CHMM-N,2,4,1130,126,-1.76611,-1.99312,90.80
CHMM-N,3,4,1130,126,-1.75623,-1.99983,90.80
CHMM-N,6,4,1130,126,-1.71397,-1.97732,88.00
CHMM-N,9,4,1130,126,-1.70815,-2.00399,92.20
CHMM-N,12,4,1130,126,-1.67265,-2.03188,90.20
CHMM-N,18,4,1130,126,-1.59409,-2.13279,91.60
CHMM-N,2,5,1256,124,-1.78814,-1.96696,79.20
CHMM-N,3,5,1256,124,-1.76796,-1.94835,71.80
CHMM-N,6,5,1256,124,-1.74404,-1.92679,83.80
CHMM-N,9,5,1256,124,-1.73434,-1.95519,86.20
CHMM-N,12,5,1256,124,-1.70198,-1.96536,81.80
CHMM-N,18,5,1256,124,-1.63094,-2.07409,84.80
CHMM-N,2,6,1380,128,-1.80336,-1.83297,91.80
CHMM-N,3,6,1380,128,-1.79323,-1.82027,92.80
CHMM-N,6,6,1380,128,-1.75925,-1.79919,93.80
CHMM-N,9,6,1380,128,-1.75178,-1.78692,96.00
CHMM-N,12,6,1380,128,-1.71672,-1.84177,93.80
CHMM-N,18,6,1380,128,-1.65815,-1.84143,94.80
