model,K,fold,n_train,n_val,train_ll_per_obs,val_ll_per_obs,val_KS_pct
CHMM-N,2,1,502,252,-1.86556,-1.83558,97.60
CHMM-N,3,1,502,252,-1.83972,-1.85353,95.80
CHMM-N,6,1,502,252,-1.78290,-1.96420,90.60
CHMM-N,9,1,502,252,-1.73595,-2.02663,91.80
CHMM-N,12,1,502,252,-1.63132,-2.11512,90.00
CHMM-N,18,1,502,252,-1.50680,-2.28619,96.00
CHMM-N,2,2,754,251,-1.84833,-1.37554,3.00
CHMM-N,3,2,754,251,-1.83331,-1.37918,2.00
CHMM-N,6,2,754,251,-1.79372,-1.34139,9.00
CHMM-N,9,2,754,251,-1.76620,-1.47771,8.40
CHMM-N,12,2,754,251,-1.70829,-1.53874,5.00
CHMM-N,18,2,754,251,-1.59545,-1.80100,3.60
CHMM-N,2,3,1005,251,-1.72254,-2.06121,66.00
CHMM-N,3,3,1005,251,-1.70592,-2.04827,62.60
CHMM-N,6,3,1005,251,-1.66951,-2.03056,57.00
CHMM-N,9,3,1005,251,-1.66103,-2.04309,62.20
CHMM-N,12,3,1005,251,-1.62146,-2.10313,55.20
CHMM-N,18,3,1005,251,-1.51973,-2.17157,61.00
CHMM-N,2,4,1256,252,-1.78814,-1.89873,78.60
CHMM-N,3,4,1256,252,-1.76796,-1.89117,67.80
CHMM-N,6,4,1256,252,-1.74404,-1.86261,85.00
CHMM-N,9,4,1256,252,-1.73434,-1.87260,83.40
CHMM-N,12,4,1256,252,-1.70198,-1.91368,84.40
CHMM-N,18,4,1256,252,-1.63094,-1.98672,85.80
