K,n_folds,val_ll_per_obs_mean,val_ll_per_obs_sd,val_KS_pct_mean,val_KS_pct_sd
3,4,-1.95501,0.29015,61.25,41.22
6,4,-1.96494,0.31260,65.25,43.48
9,4,-2.00784,0.29628,67.50,44.10
12,4,-2.07207,0.25084,67.05,44.70
18,4,-2.26326,0.30754,67.45,45.38
