K,family,label,asymp_pct,block_L20_pct,ks_q50,mean_pv
3,gaussian,"CHMM-N (K* = 3)",79.8,90.8,0.0594,0.326
3,student_t_pen,"CHMM-t pen. (λ=20) (K* = 3)",82.4,92.8,0.0621,0.294
3,laplace,"CHMM-L (K* = 3)",64.4,83.6,0.0717,0.185
3,ged,"CHMM-GED (K* = 3)",79.2,90.2,0.0629,0.303
6,gaussian,"CHMM-N (K* = 6)",80.0,92.4,0.0629,0.294
6,student_t_pen,"CHMM-t pen. (λ=20) (K* = 6)",81.2,90.8,0.0612,0.308
6,laplace,"CHMM-L (K* = 6)",75.6,88.6,0.0638,0.274
6,ged,"CHMM-GED (K* = 6)",82.0,91.4,0.0612,0.308
