generator,asymp_pass_pct,mean_pv,median_pv,pv_q05,pv_q25,pv_q75,pv_q95,ks_q05,ks_q50,ks_q95,block5_pass_pct,block10_pass_pct,block20_pass_pct
iid bootstrap,99.6,0.8198,0.923,0.3521,0.7266,0.982,0.9993,0.0103,0.0155,0.0262,97.6,99.4,99.6
GARCH(1,1),26.8,0.0476,0.0114,0.0,0.0009,0.0513,0.2266,0.0294,0.0453,0.0715,6.8,13.6,17.4
CHMM-N,94.8,0.5462,0.5847,0.0473,0.2844,0.8158,0.9757,0.0135,0.0219,0.0386,81.2,89.4,91.6
CHMM-t,95.8,0.5709,0.6083,0.0595,0.3004,0.856,0.9871,0.0127,0.0215,0.0374,82.4,89.2,91.6
CHMM-L,94.8,0.4982,0.5157,0.0475,0.2543,0.7266,0.9484,0.0147,0.0231,0.0386,81.0,88.2,90.0
CHMM-GED,95.6,0.5471,0.5614,0.0643,0.2964,0.8158,0.968,0.0139,0.0223,0.037,83.2,90.2,93.2

block_length,KS_crit_95
5,0.0306
10,0.03378
20,0.035
asymptotic,0.03834
