generator,asymp_pass_pct,mean_pv,median_pv,pv_q05,pv_q25,pv_q75,pv_q95,ks_q05,ks_q50,ks_q95,block5_pass_pct,block10_pass_pct,block20_pass_pct
iid bootstrap,90.4,0.4369,0.411,0.0298,0.1825,0.6952,0.912,0.0331,0.0524,0.0858,94.2,96.8,97.4
GARCH(1,1),59.2,0.1644,0.0916,0.0005,0.0177,0.2346,0.6455,0.0437,0.0734,0.1206,65.8,75.6,75.8
CHMM-N,81.0,0.3178,0.2346,0.01,0.0789,0.4996,0.8756,0.035,0.0612,0.0962,87.0,91.4,92.0
CHMM-t,84.8,0.3551,0.297,0.0176,0.1058,0.547,0.9105,0.0332,0.0577,0.091,90.8,94.0,95.0
CHMM-L,77.4,0.2804,0.2073,0.0083,0.0653,0.4541,0.7913,0.0385,0.0629,0.0979,84.2,90.0,91.0
CHMM-GED,81.0,0.3269,0.2346,0.0101,0.0789,0.547,0.8375,0.0366,0.0612,0.0962,86.4,90.8,91.8

block_length,KS_crit_95
5,0.08566
10,0.09091
20,0.09266
asymptotic,0.08042
