K,n_folds,val_ll_per_obs_mean,val_ll_per_obs_sd,val_KS_pct_mean,val_KS_pct_sd
2,6,-1.77409,0.33266,69.83,26.13
3,6,-1.76696,0.32926,66.13,26.81
6,6,-1.73980,0.33532,73.40,18.98
9,6,-1.78567,0.29253,76.10,20.29
12,6,-1.83200,0.27261,71.97,21.47
18,6,-1.96442,0.19433,73.13,22.40
