variant,sim_skew,sim_kurt,IS_KS_pct,obs_skew,obs_kurt
K=1 sym-t,1.4533,43.7572,NA,-0.7517,7.6864
K=1 skew-t (γ=0.975),-5.6881,148.5056,NA,-0.7517,7.6864
CHMM-t (sym, K=18),-0.6673,15.5194,96.4,-0.7517,7.6864
CHMM-t (skew, K=18),-0.7284,15.1804,95.0,-0.7517,7.6864
CHMM-L (sym, K=18),-0.505,6.7695,96.0,-0.7517,7.6864
CHMM-L (skew, K=18),-0.6076,6.909,94.2,-0.7517,7.6864
