h,model,ref,delta_crps,crps_model,crps_ref,DM,p_value,n_blocks
1,CHMM-N,Bootstrap,-0.001385,1.038436,1.039821,-0.7066,0.4798,572
1,CHMM-t,Bootstrap,0.000072,1.039893,1.039821,0.0368,0.9706,572
1,CHMM-L,Bootstrap,0.000169,1.039990,1.039821,0.0782,0.9377,572
5,CHMM-N,Bootstrap,-0.019670,2.432697,2.452367,-1.4866,0.1371,114
5,CHMM-t,Bootstrap,-0.009898,2.442469,2.452367,-0.7733,0.4394,114
5,CHMM-L,Bootstrap,-0.028523,2.423844,2.452367,-2.0340,0.0420,114
20,CHMM-N,Bootstrap,-0.179812,4.726480,4.906292,-2.9882,0.0028,28
20,CHMM-t,Bootstrap,-0.089563,4.816729,4.906292,-1.2030,0.2290,28
20,CHMM-L,Bootstrap,-0.185803,4.720489,4.906292,-2.2164,0.0267,28
