fold,K,alpha,cadence,n_test,breaches,breach_rate,median_var,LR_uc,p_uc,LR_ind,p_ind,LR_cc,p_cc,DQ,DQ_p,DQ_dof
W2,3,0.01,1,253,12,0.0474,-7.5915,18.7831,0.0000,2.5358,0.1113,21.3190,0.0000,144.5723,0.0000,6
W2,3,0.05,1,253,21,0.0830,-4.5197,4.8818,0.0271,2.6850,0.1013,7.5669,0.0227,22.9756,0.0008,6
W4,3,0.01,1,251,3,0.0120,-7.8138,0.0909,0.7630,0.0729,0.7872,0.1638,0.9214,2.3774,0.8819,6
W4,3,0.05,1,251,18,0.0717,-4.3716,2.2090,0.1372,2.0015,0.1571,4.2105,0.1218,17.9800,0.0063,6
